Zeitstempel,Username,Age,Gender,What is your course of study?,Experience with Java,Experience with programming (any language),Please specify your level of agreement: [I enjoyed playing Sojourner under Sabotage],Please specify your level of agreement: [I liked the storyline],Please specify your level of agreement: [I liked the graphics of Sojourner under Sabotage],Please specify your level of agreement: [I liked the minigames],Please specify your level of agreement: [I enjoyed writing tests with Sojourner under Sabotage],Please specify your level of agreement: [I enjoyed debugging with Sojourner under Sabotage],Please specify your level of agreement: [I learned/practised useful skills when playing Sojourner under Sabotage],Please specify your level of agreement: [I could successfully practice writing tests],Please specify your level of agreement: [I could successfully practice debugging code ],Please specify your level of agreement: [Testing is more fun than Debugging],Please specify your level of agreement: [I always knew how to play the game],Please specify your level of agreement: [The game was too difficult],Please specify your level of agreement: [Writing tests got easier from room to room],Please specify your level of agreement: [Debugging got easier from room to room],What did you like about Sojourner under Sabotage?,What did you *not* like about Sojourner under Sabotage?,Do you have any suggestions on how to improve Sojourner under Sabotage?,What is the best method to check that two integers are equal in JUnit?,"Given the following test code for Java's ArrayList class, which of the following assertions will pass?","Given the code below, which one of the following JUnit assertions will execute the line of code containing the ""Test me"" comment?","Given the code below, this Junit assertion will not pass:                                                   assertEquals(2, lastIndexOf(Arrays.asList(""a"", ""b"", ""a""), ""a""));                                                                      How would you fix the code in order to make the assertion pass?"
08.05.2024 15:25:26,olivas83,21,Female,,>= 3 months && < 6 months,>= 1 year && < 3 years,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially disagree,Partially agree,Partially agree,Fully disagree,Partially agree,Fully disagree,Partially disagree,Partially agree,Fully disagree,,,,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
08.05.2024 15:25:45,duffy887,23,Female,,< 3 months,>= 3 months && < 6 months,Partially agree,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially disagree,Fully agree,Fully disagree,The graphics and the door games,The perso walked too slowly,,"assertEquals(int1, int2)",assertFalse(list.isEmpty());,"assertThrows(IllegalArgumentException.class, () -> { shortest(null); });","Replace the relational operator ""<="" with ""<"" in the loop statement"
08.05.2024 15:27:22,zholobov998,20,Female,,>= 3 months && < 6 months,>= 3 months && < 6 months,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Fully agree,Fully disagree,Partially disagree,Neither agree nor disagree,Opening the doors,,,"assertEquals(int1, int2)",assertNull(list),"assertEquals(""cat"", shortest(new String[] {""cat""}));",Replace -1 with 0 in the first line of the method
08.05.2024 15:28:14,england509,18,Male,,>= 1 year && < 3 years,>= 1 year && < 3 years,Fully agree,Partially agree,Partially agree,Neither agree nor disagree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Fully disagree,Partially disagree,Partially disagree,The puzzle style of the game,Safari reloaded my page because it used too much storage :(,,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));",Replace i=0; with i=1; in the for loop statement
08.05.2024 15:28:24,grissom204,21,Male,,>= 1 year && < 3 years,>= 1 year && < 3 years,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Fully agree,Fully agree,"Code segments are implemented in a pretty creative way, though it has been confusing at first.","Movement speed, level design (rooms are too big and too hollow), minor issues like text size & stylistic choices in general."," One single ""tutorial"" how to write a test class would be appreciated.",assertIntegerEquals(),"assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
08.05.2024 15:28:24,tognini287,24,Male,,>= 3 months && < 6 months,>= 3 months && < 6 months,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Partially agree,Fully disagree,Fully agree,Fully agree,"nice graphics, i liked the guidance trough the game, good interface, i liked that it is in vsc",,"quests could be more visible colored (for example red ""!""), first mission could be a tutorial on what to do, show line by line what to write (can be a super easy test just to show how it works, also maybe highlight that private variables are not really testable), movement speed could be a little higher.  It is not 100% clear for beginners like me that debugging is in the right window (the actual code) and testing in the left. ","assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""cat""}));",Replace i=0; with i=1; in the for loop statement
08.05.2024 15:28:52,koch27,18,Male,,>= 1 year && < 3 years,>= 3 years,Fully agree,Partially agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Fully agree,Partially disagree,Fully disagree,Partially disagree,Fully disagree,Partially disagree,Partially disagree,"Developing the tests was fun, slowly trying to get 100% code coverage was kind of like solving a puzzle.","The walking speed was too slow compared to how big the map was, especially since my roboter friend got stuck inside a wall and I had to spend a lot of time going from room to room to talk to it.
The game loop of ""write tests -> debug with tests -> fix bugs"" was starting to get old by the end of my playtime, especially since the door puzzles did not really bring any variation compared to the previous ones.",Fix the issues mentioned above ;D,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
08.05.2024 15:29:24,vinogradov119,19,Male,,>= 3 years,>= 3 years,Fully agree,Partially agree,Fully agree,Fully agree,Partially agree,Fully agree,Partially agree,Fully agree,Neither agree nor disagree,Partially agree,Partially disagree,Partially disagree,Partially agree,Partially agree,"Grafik, Verbindung Implementierungen mit einer Story","Keine Orientierung, wo man genau hin zu laufen hat",Orientierungshilfen für die Spielwelt,int1 == int2,"assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
08.05.2024 15:31:14,grissom828,21,Female,,>= 3 months && < 6 months,>= 3 months && < 6 months,Fully agree,Fully agree,Neither agree nor disagree,Fully agree,Fully disagree,Fully disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,"Man lernt, wie man Tests schreibt. Story und Umgebung sehr schön gestaltet. Macht Spaß.","1. Wenn man das Test-Schreiben nicht so gut kann, ist es halt blöd, da man nicht weiterkommt.
2. Sackgassen","Ausrufezeichen deutlicher machen -> z.B. größer und in rot
Evtl. Tipps beim Tests schreiben/Debugging, wenn man nicht weiterkommt, da man sonst nicht weiterspielen kann.
Mehr Minispiele.
Evtl. deutsche Version? :)","assertEquals(int1, int2)",assertFalse(list.isEmpty());,"assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
08.05.2024 15:35:22,kerwin427,38,Male,,< 3 months,>= 1 year && < 3 years,Partially agree,Neither agree nor disagree,Fully agree,Partially agree,Partially agree,Partially disagree,Partially agree,Partially agree,Partially agree,Fully disagree,Partially disagree,Partially disagree,Partially agree,Fully agree,Spielerisches Lernen als Konzept im Allgemeinen.,"Debugging war zu einfach - insbesondere, wenn man den ""richtigen"" Code kurz zuvor gesehen hatte. Und noch einfacher, wenn man nachdem man das Konzept 2x erlebt hat, dann einfach den ""richtigen"" Code in Editor zwischenspeichert.

Tür-Öffnen-Minigames zu einfach.","Interessanter wäre hier evtl. NUR fürs Testing an den Stationen sein zu müssen und ansonsten über an jeder Türe platzierte Konsolen auf die bereits ""gefixten"" Stationen zugreifen zu können. Dadurch könnten die Fehler später erzeugt werden, sodass man immer wieder etwas bei alten Stationen fixen müsste. -> kein langweiliger regelmäßiger Ablauf von Test->Debug->suche !
(kann natürlich sein, dass sich das nach der Küche geändert hätte :D)


Beim Testen & Debuggen sollte die jeweils andere Seite komplett gesperrt sein. Beim Debuggen konnten auch Änderungen an den Tests vorgenommen werden, was dann dazu geführt hat, dass die automatisch angelegten Tests immer wieder neu angelegt wurden. (bei jedem Run-Attempt).","assertEquals(int1, int2)","assertEquals(0, list.size());","assertThrows(IllegalArgumentException.class, () -> { shortest(null); });",Replace -1 with 0 in the first line of the method
08.05.2024 15:36:20,worden995,20,Male,,>= 3 years,>= 3 years,Partially agree,Fully agree,Fully agree,Partially agree,Fully agree,Neither agree nor disagree,Partially agree,Fully agree,Partially disagree,Partially agree,Partially disagree,Fully disagree,Partially disagree,Neither agree nor disagree,Mainly the storyline and the interactivity with it.,Lack of possibility to sprint and availability to System.out.println in the tests (for debugging purposes),I couldn't go on with the story after the attack on the Engine class although I implemented all tests and ran them successfully. Also I sometimes couldn't modify the test editor.,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
08.05.2024 15:39:12,walker93,21,Male,,>= 3 months && < 6 months,>= 3 months && < 6 months,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,"Da ich noch keinerlei Erfahrung mit Tests schreiben hatte war es wirklich sehr nützlich zum erstmaligem erlernen. Die Grafik hat mir gefallen und auch besonders, dass es kleine Mini-Games zwischen den Leveln gibt, z.B. die Türe entsperren.","War alles cool, bin bloß nicht weit gekommen",,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));",Add a return statement inside the if statement within the loop
13.05.2024 09:27:52,serova77,19,Male,Bachelor Informatik,>= 3 years,>= 3 years,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Partially disagree,Fully agree,Fully disagree,Partially disagree,Partially disagree,I liked the graphics :),I did not like the walking speed of the character,Perhaps give the character a sprint button,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
13.05.2024 09:28:16,garn527,26,Male,Bachelor Internet Computing,>= 1 year && < 3 years,>= 3 years,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Fully agree,Fully agree,"Ich finde, dass die Umsetzung von Spielen und Lernen sehr gut umgesetzt wurde. Am Anfang ist es nicht zu leicht und auch nicht zu schwer. Man kommt von Level zu Level immer besser voran. ",Die Performance könnte man verbessern.,"Man könnte ggf. nach x-Minuten einen Hinweis geben bzw. der User müsste selber draufklicken. 
","assertEquals(int1, int2)","assertSame(list, new ArrayList<>());","assertEquals(""cat"", shortest(new String[] {""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
13.05.2024 09:29:10,krikalev327,22,Female,Bachelor Informatik,>= 3 months && < 6 months,< 3 months,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially disagree,Fully disagree,Neither agree nor disagree,Partially disagree,Partially disagree,"Mehr Motivation herauszufinden, was als nächstes passiert",,,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertThrows(IllegalArgumentException.class, () -> { shortest(null); });",Replace -1 with 0 in the first line of the method
13.05.2024 09:29:13,hieb602,27,Male,Bachelor Informatik,>= 3 months && < 6 months,>= 3 months && < 6 months,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,großer Lerneffekt,Zu wenig Assistenz für Anfänger,Sprinttaste hinzufügen,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""cat""}));",Replace -1 with 0 in the first line of the method
13.05.2024 09:30:25,morgan336,20,Female,Bachelor Informatik,>= 6 months && < 1 year,>= 6 months && < 1 year,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Partially agree,Fully agree,Partially agree,Fully disagree,Partially agree,Partially agree,Testing part was good.,Debugging was too easy.,,"assertEquals(int1, int2)",assertNull(list),"assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
13.05.2024 09:30:27,baker628,22,Male,Bachelor Wirtschaftsinformatik,>= 3 months && < 6 months,>= 3 months && < 6 months,Neither agree nor disagree,Neither agree nor disagree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially disagree,Partially agree,Neither agree nor disagree,Fully disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,,,,"assertEquals(int1, int2)",assertFalse(list.isEmpty());,"assertThrows(IllegalArgumentException.class, () -> { shortest(null); });","Replace the relational operator ""<="" with ""<"" in the loop statement"
13.05.2024 09:30:40,cassidy941,22,Female,Bachelor Internet Computing,>= 3 months && < 6 months,>= 6 months && < 1 year,Partially disagree,Partially agree,Fully agree,Fully agree,Fully disagree,Fully disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Fully disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,int1 == int2,assertFalse(list.isEmpty());,"assertEquals(""cat"", shortest(new String[] {""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
13.05.2024 09:30:56,chawla116,22,Male,Bachelor Internet Computing,>= 3 months && < 6 months,>= 3 months && < 6 months,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Fully agree,Partially disagree,Fully agree,Partially agree,Partially disagree,Neither agree nor disagree,,,,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
13.05.2024 09:31:15,krikalev277,20,Male,Bachelor Wirtschaftsinformatik,>= 1 year && < 3 years,>= 1 year && < 3 years,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Partially agree,Fully disagree,Fully agree,Partially disagree,,,,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
