Zeitstempel,Username,Age,Gender,What is your course of study?,Experience with Java,Experience with programming (any language),Please specify your level of agreement: [I enjoyed playing Sojourner under Sabotage],Please specify your level of agreement: [I liked the storyline],Please specify your level of agreement: [I liked the graphics of Sojourner under Sabotage],Please specify your level of agreement: [I liked the minigames],Please specify your level of agreement: [I enjoyed writing tests with Sojourner under Sabotage],Please specify your level of agreement: [I enjoyed debugging with Sojourner under Sabotage],Please specify your level of agreement: [I learned/practised useful skills when playing Sojourner under Sabotage],Please specify your level of agreement: [I could successfully practice writing tests],Please specify your level of agreement: [I could successfully practice debugging code ],Please specify your level of agreement: [Testing is more fun than Debugging],Please specify your level of agreement: [I always knew how to play the game],Please specify your level of agreement: [The game was too difficult],Please specify your level of agreement: [Writing tests got easier from room to room],Please specify your level of agreement: [Debugging got easier from room to room],What did you like about Sojourner under Sabotage?,What did you *not* like about Sojourner under Sabotage?,Do you have any suggestions on how to improve Sojourner under Sabotage?,What is the best method to check that two integers are equal in JUnit?,"Given the following test code for Java's ArrayList class, which of the following assertions will pass?","Given the code below, which one of the following JUnit assertions will execute the line of code containing the ""Test me"" comment?","Given the code below, this Junit assertion will not pass:                                                   assertEquals(2, lastIndexOf(Arrays.asList(""a"", ""b"", ""a""), ""a""));                                                                      How would you fix the code in order to make the assertion pass?"
13.05.2024 09:31:40,musabayev1,24,Male,Bachelor Wirtschaftsinformatik,>= 6 months && < 1 year,>= 3 months && < 6 months,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Man schreibt echte Tests,Das es keinen debugger gibt um die Fehler im Code zu finden ,,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertThrows(IllegalArgumentException.class, () -> { shortest(null); });",Replace -1 with 0 in the first line of the method
13.05.2024 09:32:06,gagarin692,19,Male,Bachelor Informatik,>= 3 years,>= 3 years,Fully agree,Fully agree,Partially agree,Fully agree,Partially agree,Partially agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully disagree,Partially disagree,Partially disagree,"Es ist gut um testen und Debuggen zu lernen, weil es Spaß macht, die Story und die Grafik waren auch gut.",Der Code Editor hatte etwas wenig Autovervollständigung.,"Das einzige, das man verbessern könnte, ist die Autovervollständigung im Code Editor.",int1 == int2,"assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
13.05.2024 09:32:08,chaffee788,27,Male,Lehramt,>= 6 months && < 1 year,>= 3 years,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Neither agree nor disagree,Fully agree,Partially agree,Fully disagree,Partially agree,Neither agree nor disagree,Insbesondere das Testen war eine gute Übung. Die Journey war interessant gestaltet und hat Spaß gemacht.,"Es gab ein paar Bugs. In der Kantine konnte man zwar mit zwei Objekten interagieren (Tasse und Stuhl), jedoch passierte daraufhin nichts mehr und ich bin nicht mehr weitergekommen. Nach einem Refresh der Seite bin ich im Anfangsraum gelandet, war aber dort dann gefangen, weil ich weder interagieren, noch den Raum über die Tür verlassen konnte.","Das Debugging war relativ leicht, ich musste eigentlich nur den Code durchlesen und es war sehr schnell ersichtlich, wo der Fehler war. Ein System.out.println wie als Hinweis bei der Aufgabenbeschreibung angegeben, war dazu nicht notwendig.","assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
13.05.2024 09:32:08,hilmers481,19,Male,Bachelor Internet Computing,>= 6 months && < 1 year,>= 6 months && < 1 year,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Partially agree,Fully agree,Partially agree,Partially disagree,Neither agree nor disagree,Partially agree,Die Kombination aus Spiel und lernen zu testen und debuggen.,die Laufanimation ist noch bisschen schwammig.,"Laufanimation, die Programmieraufgaben passen so!","assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
13.05.2024 09:32:58,proctor982,22,Female,Bachelor Wirtschaftsinformatik,>= 6 months && < 1 year,>= 6 months && < 1 year,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Fully agree,Partially disagree,Partially disagree,Fully agree,Fully agree,"Graphics, storyline and the access to the code as in the IDE","I could not always understand what should I do now, so I asked a lot of questions. But I am also not expirienced in gaming... ",Maybe you can show the way fr the user to find the right way easier. But it is not so necessary.,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""cat""}));",Replace -1 with 0 in the first line of the method
13.05.2024 09:33:06,melnick526,21,Male,Bachelor Informatik,>= 1 year && < 3 years,>= 3 years,Fully agree,Fully agree,Fully agree,Partially disagree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Fully disagree,Fully agree,Fully agree,Die zu testenden Klassen waren gut gewählt :),Mein Bot ist am Anfang irgendwie nicht mitgekommen und ich musste immer den ganzen weg zurück laufen,Sprinten mit Shift; und vllt auch eine kleine doku o.ä. für die verschiedenen assert Funktionen; vielleicht am Ende auch noch nachdem man den Bug gefixt hat eine Auflösung zu den Tests mit 100% coverage und wie man die Klasse am besten strukturiert.,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
13.05.2024 09:34:22,shkaplerov171,21,Male,Mathematics,>= 3 months && < 6 months,>= 3 months && < 6 months,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Partially disagree,Partially disagree,Partially disagree,das Szenario,"das Raumschiff war sehr hell, flackernde Lichter oder Notbeleuchtung hätte besser gepasst","das Raumschiff war sehr hell, flackernde Lichter oder Notbeleuchtung hätte besser gepasst","assertEquals(int1, int2)",assertFalse(list.isEmpty());,"assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));",Replace -1 with 0 in the first line of the method
13.05.2024 09:35:36,collins430,27,Male,Bachelor Wirtschaftsinformatik,< 3 months,< 3 months,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Mithilfe von Minispielen können Sie Code ganz einfach online üben,Die Antworten können zu keinem Zeitpunkt überprüft werden,"Ich hoffe, dass ich die Antworten jederzeit überprüfen und den Code korrigieren kann, denn wenn Sie neu im Programmieren sind, wissen Sie manchmal nicht, wo Sie anfangen sollen.","assertEquals(int1, int2)",assertNull(list),"assertThrows(IllegalArgumentException.class, () -> { shortest(null); });","Replace the relational operator ""<="" with ""<"" in the loop statement"
13.05.2024 09:38:33,arnold788,20,Female,Bachelor Wirtschaftsinformatik,>= 3 months && < 6 months,>= 3 months && < 6 months,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,"I really enjoyed the storyline and how the game was giving ""incentives"" to test and debugg. 
That robot following me around was also very cute.
The code was clean and undestandable. All in all a nice experience.","I felt debugging was a bit challenging, because the errors where mostly subtle.",Not really.,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
16.05.2024 15:27:00,ovchinin841,21,Male,Bachelor Informatik,>= 6 months && < 1 year,>= 3 years,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially disagree,Fully agree,Partially disagree,Neither agree nor disagree,Fully agree,Fully disagree,Partially agree,Partially agree,Various test-cases,Speed of the code-editor,To speed up the code-editor,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
16.05.2024 15:29:08,ovchinin663,20,Male,Bachelor Informatik,>= 6 months && < 1 year,>= 6 months && < 1 year,Partially agree,Partially agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially disagree,Partially agree,Neither agree nor disagree,,,,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));",Replace -1 with 0 in the first line of the method
16.05.2024 15:30:08,ivanishin666,19,Male,Bachelor Informatik,>= 1 year && < 3 years,>= 1 year && < 3 years,Fully agree,Neither agree nor disagree,Fully agree,Partially agree,Partially agree,Fully agree,Fully agree,Partially agree,Fully agree,Partially disagree,Fully agree,Neither agree nor disagree,Partially disagree,Partially disagree,,,,"assertEquals(int1, int2)",assertFalse(list.isEmpty());,"assertEquals(""cat"", shortest(new String[] {""cat""}));",Replace -1 with 0 in the first line of the method
16.05.2024 15:30:16,ovchinin348,27,Male,Bachelor Internet Computing,>= 1 year && < 3 years,>= 3 years,Partially agree,Partially agree,Neither agree nor disagree,Fully agree,Partially agree,Neither agree nor disagree,Partially disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Partially agree,Partially agree,Die Art und Weise wie man die Programmierung in das Spiel integrierte,"Das Debugging ist meiner Meinung nach nicht sehr praxisnah, da man später nicht mit syso debuggt",,"assertEquals(int1, int2)",assertNull(list),"assertNull(shortest(new String[] {null, ""airplane""}));",Replace i=0; with i=1; in the for loop statement
16.05.2024 15:30:22,epps379,19,Male,Bachelor Informatik,>= 1 year && < 3 years,>= 1 year && < 3 years,Fully disagree,Fully disagree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Fully disagree,Partially disagree,Partially disagree,Fully disagree,Partially disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,kreativ,,,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));",Replace i=0; with i=1; in the for loop statement
16.05.2024 15:30:59,behnken719,24,Male,Bachelor Informatik,< 3 months,< 3 months,Partially agree,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Fully agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially disagree,Partially agree,Neither agree nor disagree,,,,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));",Replace i=0; with i=1; in the for loop statement
16.05.2024 15:31:04,hobaugh650,19,Female,Bachelor Informatik,>= 6 months && < 1 year,>= 6 months && < 1 year,Partially disagree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Partially agree,Partially disagree,Neither agree nor disagree,Partially agree,Ich mochte vor allem die Grafik und die Minigames.,,,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""cat""}));",Add a return statement inside the if statement within the loop
16.05.2024 15:31:31,isaacman125,21,Male,Bachelor Informatik,>= 6 months && < 1 year,>= 1 year && < 3 years,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially agree,Fully agree,"Design insgesamt ist richtig gut. Tests bauen langsam auf, also einsteigerfreundlich.","Anfangs wusste ich nicht welche Methode ich Testen soll, aber das liegt nicht am Spiel. Hier vllt ein kurzes Beispiel zeigen oder Einführung (weiß aber nicht ob das zum Spielfluss passt)","Einen kleinen Richtungpfeil wo das nächste Komponent, oder ein visuellen Hinweis, dass da drüben etwas kaputt ist.","assertEquals(int1, int2)",assertNull(list),"assertEquals(""cat"", shortest(new String[] {""cat""}));",Replace -1 with 0 in the first line of the method
16.05.2024 15:31:40,ross637,23,Male,Bachelor Wirtschaftsinformatik,>= 6 months && < 1 year,>= 1 year && < 3 years,Partially agree,Partially agree,Fully agree,Partially agree,Partially agree,Partially agree,Fully agree,Fully agree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,int1 == int2,"assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""cat""}));",Add a return statement inside the if statement within the loop
16.05.2024 15:32:07,novitskiy658,21,Female,Bachelor Wirtschaftsinformatik,< 3 months,>= 6 months && < 1 year,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Fully agree,Partially agree,Partially agree,Partially agree,Partially disagree,Neither agree nor disagree,Partially agree,Partially agree,Fully agree,Gute ersten Kenntnisse zum Testen.,"Es wäre hilfreich gewesen, wenn man auf die vorherigen Aufgaben hätte zurückgreifen können. ","Besonders beim ersten Test des Spiels nochmal einige Grundlagen wiederholen bzw. verdeutlichen was getestet werden muss, das würde den Einstieg erleichtern.","assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));",Replace -1 with 0 in the first line of the method
16.05.2024 15:32:56,garan358,21,Female,Bachelor Wirtschaftsinformatik,>= 6 months && < 1 year,>= 3 years,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Fully agree,Fully disagree,Fully disagree,Fully agree,Neither agree nor disagree,"das spielerhafte Lernen von Testen, vor allem, da man zwischendurch auch das Debugging oder die ""Tür öffnen"" hatte und es nicht stupide ums Codieren geht",,,int1 == int2,"assertEquals(0, list.size());","assertNull(shortest(new String[] {null, ""airplane""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
16.05.2024 15:33:01,polishchuk831,26,Male,Bachelor Wirtschaftsinformatik,< 3 months,>= 1 year && < 3 years,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Fully agree,Fully agree,"Das spiel ist sehr schön gemacht und brachte mir testen näher da ich das selbst noch nie machen musste, man sieht es steckt sehr viel Mühe darin und ist gut gelungen!","Da ich noch nie getestet habe hätte ich gerne noch am Anfang eine ""intakte"" console mit einem erfolgreichen Test gesehen als tutorial. Jedoch nicht unbedingt nötig da man es mit der Suchmaschine auch relativ schnell hinbekommt!","Die Codefenster waren bei mir etwas zu klein, ich weiß nicht ob es am Bildschirm liegt, aber eine Zoomfunktion wäre sehr schön. ","assertEquals(int1, int2)","assertEquals(0, list.size());","assertNull(shortest(new String[] {null, ""airplane""}));",Replace i=0; with i=1; in the for loop statement
16.05.2024 15:33:05,garn779,19,Male,Bachelor Informatik,>= 3 months && < 6 months,>= 3 months && < 6 months,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Neither agree nor disagree,Fully agree,Fully disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Die graphische Gestaltung ,,,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertThrows(IllegalArgumentException.class, () -> { shortest(null); });",Add a return statement inside the if statement within the loop
16.05.2024 15:33:13,aunanchancellor226,18,Male,Bachelor Informatik,>= 3 months && < 6 months,>= 3 months && < 6 months,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Neither agree nor disagree,Fully agree,Fully disagree,Partially agree,Partially agree,optisch sehr ansprechend und man konnte doch einiges bezüglich testing lernen,Movement war teilweise ein wenig gewöhnungsbedürftig,-,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
16.05.2024 15:33:24,strekalov246,21,Male,Bachelor Informatik,>= 6 months && < 1 year,>= 3 years,Partially agree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Partially agree,Partially disagree,Neither agree nor disagree,Fully agree,Partially agree,Fully disagree,Fully agree,Fully disagree,Partially agree,Neither agree nor disagree,I am impressed that the code editing was more plesant than some IDEs.,"It seems that log printing did not work when tests failed, which made debugging more tedious than it could have been","Stopping points for debugging could be very helpful.

Higher base movement speed would not hurt.

Text from your companion was a very big and scrolling to see it all was slow (could be due to low mouse DPI tho).","assertEquals(int1, int2)",assertFalse(list.isEmpty());,"assertEquals(""cat"", shortest(new String[] {""cat""}));",Replace -1 with 0 in the first line of the method